0,16,32,8.170388746396996e-05
1,16,33,8.170388746396996e-05
2,16,34,8.170388746396996e-05
3,16,35,8.170388746396996e-05
4,16,36,8.170388746396996e-05
5,16,37,8.170388746396996e-05
6,16,38,8.170388746396996e-05
7,16,39,8.170388746396996e-05
8,16,40,8.170388746396996e-05
9,16,41,8.170388746396996e-05
10,16,42,8.170388746396996e-05
11,16,43,8.170388746396996e-05
12,16,44,8.170388746396996e-05
13,16,45,8.170388746396996e-05
14,16,46,8.170388746396996e-05
15,16,47,8.170388746396996e-05
16,17,32,8.170388746396996e-05
17,17,33,8.170388746396996e-05
18,17,34,8.170388746396996e-05
19,17,35,8.170388746396996e-05
20,17,36,8.170388746396996e-05
21,17,37,8.170388746396996e-05
22,17,38,8.170388746396996e-05
23,17,39,8.170388746396996e-05
24,17,40,8.170388746396996e-05
25,17,41,8.170388746396996e-05
26,17,42,8.170388746396996e-05
27,17,43,8.170388746396996e-05
28,17,44,8.170388746396996e-05
29,17,45,8.170388746396996e-05
30,17,46,8.170388746396996e-05
31,17,47,8.170388746396996e-05
32,18,32,8.170388746396996e-05
33,18,33,8.170388746396996e-05
34,18,34,8.170388746396996e-05
35,18,35,8.170388746396996e-05
36,18,36,8.170388746396996e-05
37,18,37,8.170388746396996e-05
38,18,38,8.170388746396996e-05
39,18,39,8.170388746396996e-05
40,18,40,8.170388746396996e-05
41,18,41,8.170388746396996e-05
42,18,42,8.170388746396996e-05
43,18,43,8.170388746396996e-05
44,18,44,8.170388746396996e-05
45,18,45,8.170388746396996e-05
46,18,46,8.170388746396996e-05
47,18,47,8.170388746396996e-05
48,19,32,8.170388746396996e-05
49,19,33,8.170388746396996e-05
50,19,34,8.170388746396996e-05
51,19,35,8.170388746396996e-05
52,19,36,8.170388746396996e-05
53,19,37,8.170388746396996e-05
54,19,38,8.170388746396996e-05
55,19,39,8.170388746396996e-05
56,19,40,8.170388746396996e-05
57,19,41,8.170388746396996e-05
58,19,42,8.170388746396996e-05
59,19,43,8.170388746396996e-05
60,19,44,8.170388746396996e-05
61,19,45,8.170388746396996e-05
62,19,46,8.170388746396996e-05
63,19,47,8.170388746396996e-05
64,20,32,8.170388746396996e-05
65,20,33,8.170388746396996e-05
66,20,34,8.170388746396996e-05
67,20,35,8.170388746396996e-05
68,20,36,8.170388746396996e-05
69,20,37,8.170388746396996e-05
70,20,38,8.170388746396996e-05
71,20,39,8.170388746396996e-05
72,20,40,8.170388746396996e-05
73,20,41,8.170388746396996e-05
74,20,42,8.170388746396996e-05
75,20,43,8.170388746396996e-05
76,20,44,8.170388746396996e-05
77,20,45,8.170388746396996e-05
78,20,46,8.170388746396996e-05
79,20,47,8.170388746396996e-05
80,21,32,8.170388746396996e-05
81,21,33,8.170388746396996e-05
82,21,34,8.170388746396996e-05
83,21,35,8.170388746396996e-05
84,21,36,8.170388746396996e-05
85,21,37,8.170388746396996e-05
86,21,38,8.170388746396996e-05
87,21,39,8.170388746396996e-05
88,21,40,8.170388746396996e-05
89,21,41,8.170388746396996e-05
90,21,42,8.170388746396996e-05
91,21,43,8.170388746396996e-05
92,21,44,8.170388746396996e-05
93,21,45,8.170388746396996e-05
94,21,46,8.170388746396996e-05
95,21,47,8.170388746396996e-05
96,22,32,8.170388746396996e-05
97,22,33,8.170388746396996e-05
98,22,34,8.170388746396996e-05
99,22,35,8.170388746396996e-05
100,22,36,8.170388746396996e-05
101,22,37,8.170388746396996e-05
102,22,38,8.170388746396996e-05
103,22,39,8.170388746396996e-05
104,22,40,8.170388746396996e-05
105,22,41,8.170388746396996e-05
106,22,42,8.170388746396996e-05
107,22,43,8.170388746396996e-05
108,22,44,8.170388746396996e-05
109,22,45,8.170388746396996e-05
110,22,46,8.170388746396996e-05
111,22,47,8.170388746396996e-05
112,23,32,8.170388746396996e-05
113,23,33,8.170388746396996e-05
114,23,34,8.170388746396996e-05
115,23,35,8.170388746396996e-05
116,23,36,8.170388746396996e-05
117,23,37,8.170388746396996e-05
118,23,38,8.170388746396996e-05
119,23,39,8.170388746396996e-05
120,23,40,8.170388746396996e-05
121,23,41,8.170388746396996e-05
122,23,42,8.170388746396996e-05
123,23,43,8.170388746396996e-05
124,23,44,8.170388746396996e-05
125,23,45,8.170388746396996e-05
126,23,46,8.170388746396996e-05
127,23,47,8.170388746396996e-05
128,24,32,8.170388746396996e-05
129,24,33,8.170388746396996e-05
130,24,34,8.170388746396996e-05
131,24,35,8.170388746396996e-05
132,24,36,8.170388746396996e-05
133,24,37,8.170388746396996e-05
134,24,38,8.170388746396996e-05
135,24,39,8.170388746396996e-05
136,24,40,8.170388746396996e-05
137,24,41,8.170388746396996e-05
138,24,42,8.170388746396996e-05
139,24,43,8.170388746396996e-05
140,24,44,8.170388746396996e-05
141,24,45,8.170388746396996e-05
142,24,46,8.170388746396996e-05
143,24,47,8.170388746396996e-05
144,25,32,8.170388746396996e-05
145,25,33,8.170388746396996e-05
146,25,34,8.170388746396996e-05
147,25,35,8.170388746396996e-05
148,25,36,8.170388746396996e-05
149,25,37,8.170388746396996e-05
150,25,38,8.170388746396996e-05
151,25,39,8.170388746396996e-05
152,25,40,8.170388746396996e-05
153,25,41,8.170388746396996e-05
154,25,42,8.170388746396996e-05
155,25,43,8.170388746396996e-05
156,25,44,8.170388746396996e-05
157,25,45,8.170388746396996e-05
158,25,46,8.170388746396996e-05
159,25,47,8.170388746396996e-05
160,26,32,8.170388746396996e-05
161,26,33,8.170388746396996e-05
162,26,34,8.170388746396996e-05
163,26,35,8.170388746396996e-05
164,26,36,8.170388746396996e-05
165,26,37,8.170388746396996e-05
166,26,38,8.170388746396996e-05
167,26,39,8.170388746396996e-05
168,26,40,8.170388746396996e-05
169,26,41,8.170388746396996e-05
170,26,42,8.170388746396996e-05
171,26,43,8.170388746396996e-05
172,26,44,8.170388746396996e-05
173,26,45,8.170388746396996e-05
174,26,46,8.170388746396996e-05
175,26,47,8.170388746396996e-05
176,27,32,8.170388746396996e-05
177,27,33,8.170388746396996e-05
178,27,34,8.170388746396996e-05
179,27,35,8.170388746396996e-05
180,27,36,8.170388746396996e-05
181,27,37,8.170388746396996e-05
182,27,38,8.170388746396996e-05
183,27,39,8.170388746396996e-05
184,27,40,8.170388746396996e-05
185,27,41,8.170388746396996e-05
186,27,42,8.170388746396996e-05
