FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
0          177   566   1000000      1000000      0.88           100.00%
1          379   782   5000000      5000000      4.36           100.00%
2          456   591   50000        50000        0.05           100.00%
3          179   752   50000        50000        0.05           100.00%
4          291   182   1000000      1000000      0.88           100.00%
5          173   651   10000        10000        0.02           100.00%
6          587   452   10000        10000        0.02           100.00%
7          378   580   80000        80000        0.07           100.00%
8          147   244   200000       200000       0.19           100.00%
9          571   244   10000        10000        0.02           100.00%
10         374   570   10000000     10000000     9.19           100.00%
11         184   547   1000000      1000000      0.89           100.00%
12         428   522   30000000     30000000     33.05          100.00%
13         570   585   10000000     10000000     17.87          100.00%
14         487   586   5000000      5000000      6.68           100.00%
15         289   473   200000       200000       0.18           100.00%
16         187   463   5000000      5000000      4.37           100.00%
17         785   184   1000000      1000000      0.93           100.00%
18         140   182   80000        80000        0.07           100.00%
19         799   616   30000        30000        0.03           100.00%
20         467   618   5000000      5000000      6.04           100.00%
21         185   646   2000000      2000000      1.75           100.00%
22         141   456   50000        50000        0.05           100.00%
23         146   585   30000        30000        0.04           100.00%
24         497   518   2000000      2000000      4.20           100.00%
25         619   585   10000        10000        0.02           100.00%
26         489   247   10000        10000        0.02           100.00%
27         585   774   2000000      2000000      1.80           100.00%
28         280   314   80000        80000        0.08           100.00%
29         276   373   80000        80000        0.08           100.00%
30         311   518   80000        80000        0.11           100.00%
31         432   774   20000        20000        0.04           100.00%
32         547   251   10000        10000        0.02           100.00%
33         568   457   30000        30000        0.03           100.00%
34         650   497   30000        30000        0.03           100.00%
35         435   522   50000        50000        0.27           100.00%
36         718   588   5000000      5000000      4.42           100.00%
37         755   485   20000        20000        0.03           100.00%
38         619   547   1000000      1000000      0.88           100.00%
39         715   374   30000        30000        0.04           100.00%
40         429   497   2000000      2000000      1.79           100.00%
41         781   176   30000        30000        0.03           100.00%
42         592   173   10000        10000        0.02           100.00%
43         522   803   10000        10000        0.02           100.00%
44         809   452   80000        80000        0.08           100.00%
45         798   280   2000000      2000000      1.75           100.00%
46         720   261   10000000     10000000     8.86           100.00%
47         261   581   1000000      1000000      0.97           100.00%
48         376   719   50000        50000        0.05           100.00%
49         467   310   10000000     10000000     16.75          100.00%
50         276   801   30000        30000        0.04           100.00%
51         496   781   30000        30000        0.03           100.00%
52         542   868   30000        30000        0.03           100.00%
53         566   277   50000        50000        0.06           100.00%
54         651   176   50000        50000        0.05           100.00%
55         772   266   10000000     10000000     8.94           100.00%
56         245   754   1000000      1000000      0.88           100.00%
57         564   543   80000        80000        0.14           100.00%
