Src   Dst   Srvport  Utilized (ns)   Utilization
428   41    YES      54581280        54.58%
26    310   YES      50897088        50.90%
58    77    NO       45820960        45.82%
55    19    NO       45001184        45.00%
45    94    NO       44418592        44.42%
52    522   YES      43170592        43.17%
86    52    NO       42987168        42.99%
265   20    YES      42238304        42.24%
41    86    NO       40744192        40.74%
76    710   YES      39985176        39.99%
77    719   YES      39624496        39.62%
464   45    YES      39252320        39.25%
64    44    NO       38039008        38.04%
96    868   YES      38006240        38.01%
86    41    NO       37941200        37.94%
37    26    NO       37239616        37.24%
60    39    NO       36762336        36.76%
772   84    YES      36093504        36.09%
44    454   YES      35681280        35.68%
22    64    NO       35407744        35.41%
64    618   YES      35311200        35.31%
713   76    YES      35114400        35.11%
494   49    YES      34980960        34.98%
807   88    YES      34946112        34.95%
94    5     NO       34792448        34.79%
92    96    NO       34786880        34.79%
64    22    NO       34175632        34.18%
85    3     NO       34127968        34.13%
45    464   YES      34007421        34.01%
60    52    NO       33794048        33.79%
542   55    YES      33416896        33.42%
52    20    NO       33149280        33.15%
802   87    YES      33145024        33.15%
41    428   YES      32949184        32.95%
87    50    NO       32601632        32.60%
53    45    NO       32494688        32.49%
41    73    NO       32118032        32.12%
81    67    NO       31559296        31.56%
77    716   YES      31422848        31.42%
310   26    YES      30952896        30.95%
48    57    NO       30865387        30.87%
50    58    NO       30861984        30.86%
48    485   YES      30826688        30.83%
18    244   YES      30783488        30.78%
279   22    YES      30715488        30.72%
754   81    YES      30623904        30.62%
67    49    NO       30463360        30.46%
60    584   YES      30363264        30.36%
26    17    NO       30075213        30.08%
145   5     YES      29944096        29.94%
23    290   YES      29454400        29.45%
17    86    NO       29426473        29.43%
5     25    NO       29405952        29.41%
26    309   YES      29356768        29.36%
755   81    YES      29181569        29.18%
68    53    NO       29045280        29.05%
803   87    YES      28943282        28.94%
44    459   YES      28940224        28.94%
581   60    YES      28914816        28.91%
870   96    YES      28771072        28.77%
20    264   YES      28463744        28.46%
5     145   YES      28360000        28.36%
39    77    NO       28233632        28.23%
25    44    NO       27838816        27.84%
62    41    NO       27750656        27.75%
785   85    YES      27682944        27.68%
58    566   YES      27670016        27.67%
34    68    NO       27383872        27.38%
52    60    NO       27383104        27.38%
64    616   YES      27300736        27.30%
41    431   YES      27251322        27.25%
84    31    NO       27054752        27.05%
88    62    NO       26983968        26.98%
87    1     NO       26962688        26.96%
19    48    NO       26899680        26.90%
31    76    NO       26792000        26.79%
49    499   YES      26789888        26.79%
179   9     YES      26653088        26.65%
